Section,Stat,Value
Config.SFU,Width,1
SM 7,RegistersWrites,0
SM 11,Cycles,1222
SM 9,Cycles,1222
Config.BRU,NumSPULanes,32
SM 12,BRU Instructions,0
SM 6,IMU Instructions,0
SM 4,IMU Instructions,0
SM 1,DPU Instructions,0
SM 3,IMU Instructions,0
SM 6,LDS Instructions,256
SM 4,DPU Instructions,0
SM 11,RegistersWrites,0
SM 13,InstructionsPerCycle,0
SM 0,SPU Instructions,0
Config.SM,MaxBlocksPerWarpPool,4
SM 2,DPU Instructions,0
SM 7,LDS Instructions,256
SM 7,SFU Instructions,592
Config.SPU,NumSPULanes,32
Config.LSU,DispatchBufferSize,2
SM 2,SPU Instructions,0
SM 12,InstructionsPerCycle,0
SM 5,DPU Instructions,0
SM 8,RegistersWrites,0
SM 1,InstructionsPerCycle,0
SM 11,LDS Instructions,256
SM 7,Cycles,1222
SM 7,RegistersReads,0
Config.DPU,NumSPULanes,32
SM 1,IMU Instructions,0
Config.IMU,ExecutionBufferSize,1
SM 13,LDS Instructions,256
SM 5,BlockCount,8
SM 5,BRU Instructions,0
Config.BRU,WriteBufferSize,5
