Section,Stat,Value
Config.SFU,ExecutionLatency,1
SM 13,DPU Instructions,24
SM 20,RegistersWrites,0
Config.LSU,ReadLatency,1
SM 21,IMU Instructions,40
SM 22,DPU Instructions,0
SM 23,BRU Instructions,56
SM 27,SFU Instructions,536
SM 30,LDS Instructions,48
SM 39,IMU Instructions,88
SM 43,IMU Instructions,88
SM 19,BRU Instructions,56
SM 31,BRU Instructions,96
SM 38,SFU Instructions,552
SM 45,IMU Instructions,88
SM 11,Cycles,50747
SM 41,BlockCount,1
SM 4,RegistersWrites,0
SM 39,InstructionsPerCycle,0
SM 36,SPU Instructions,0
SM 19,InstructionsPerCycle,0
SM 2,Cycles,50747
Config.SM,NumWarpPools,4
SM 43,DPU Instructions,0
SM 22,LDS Instructions,48
SM 17,BlockCount,1
SM 18,RegistersReads,0
SM 39,SPU Instructions,0
SM 45,SFU Instructions,552
SM 17,Cycles,50747
SM 18,SPU Instructions,0
SM 36,InstructionsPerCycle,0
SM 14,BlockCount,2
SM 24,RegistersReads,0
SM 43,RegistersReads,0
SM 37,BlockCount,1
SM 34,BRU Instructions,96
Config.LSU,DispatchBufferSize,2
SM 10,RegistersWrites,0
SM 15,InstructionsPerCycle,0
SM 11,DPU Instructions,24
SM 2,InstructionsPerCycle,0
SM 25,SFU Instructions,536
SM 28,InstructionsPerCycle,0
SM 5,RegistersWrites,0
SM 22,InstructionsPerCycle,0
SM 25,SPU Instructions,0
SM 40,SFU Instructions,552
SM 43,SFU Instructions,552
SM 1,SPU Instructions,0
SM 1,LDS Instructions,88
Config.DPU,ReadLatency,15
SM 2,SPU Instructions,0
SM 40,BlockCount,1
SM 41,SFU Instructions,552
SM 41,IMU Instructions,88
SM 42,DPU Instructions,0
SM 45,DPU Instructions,0
SM 20,SFU Instructions,272
SM 40,SPU Instructions,0
SM 22,SPU Instructions,0
SM 4,BRU Instructions,152
Config.LSU,Width,1
SM 8,IMU Instructions,208
SM 45,BlockCount,1
SM 36,BRU Instructions,96
SM 2,BlockCount,2
SM 3,SFU Instructions,744
Config.SM,MaxWarpsPerWarpPool,32
SM 6,DPU Instructions,0
SM 7,DPU Instructions,0
SM 34,SFU Instructions,552
SM 37,RegistersWrites,0
SM 43,InstructionsPerCycle,0
SM 14,Cycles,50747
Config.Device,Frequency,735
SM 8,RegistersWrites,0
SM 19,RegistersReads,0
SM 13,Cycles,50747
SM 31,DPU Instructions,0
Config.BRU,DispatchBufferSize,2
SM 8,Cycles,50747
SM 41,DPU Instructions,0
SM 30,BlockCount,1
SM 33,SFU Instructions,552
SM 18,IMU Instructions,40
SM 12,SPU Instructions,0
SM 33,DPU Instructions,0
Config.DPU,ExecutionBufferSize,15
SM 5,IMU Instructions,96
SM 20,BlockCount,1
SM 26,SPU Instructions,0
Config.DPU,DispatchBufferSize,2
SM 4,DPU Instructions,0
SM 37,SFU Instructions,552
SM 30,IMU Instructions,104
SM 36,RegistersWrites,0
SM 1,Cycles,50747
SM 28,RegistersReads,0
SM 3,Cycles,50747
SM 17,RegistersReads,0
SM 30,SPU Instructions,0
SM 16,SFU Instructions,272
SM 8,InstructionsPerCycle,0
SM 32,BlockCount,1
SM 0,Cycles,50747
SM 38,IMU Instructions,88
SM 42,InstructionsPerCycle,0
SM 10,IMU Instructions,208
SM 23,RegistersReads,0
SM 40,LDS Instructions,48
SM 41,RegistersReads,0
SM 32,RegistersWrites,0
SM 10,LDS Instructions,104
SM 45,RegistersReads,0
SM 14,SFU Instructions,1320
SM 19,RegistersWrites,0
Config.SPU,WriteLatency,1
SM 28,SFU Instructions,536
SM 43,BRU Instructions,96
SM 3,RegistersReads,0
SM 1,BRU Instructions,152
SM 12,Cycles,50747
SM 31,RegistersReads,0
Config.Device,NumSM,48
SM 9,SPU Instructions,0
SM 31,RegistersWrites,0
SM 23,BlockCount,1
SM 28,BRU Instructions,96
SM 27,BRU Instructions,96
SM 26,SFU Instructions,536
SM 27,Cycles,50747
SM 33,BRU Instructions,96
SM 31,BlockCount,1
SM 2,IMU Instructions,96
SM 2,BRU Instructions,152
SM 44,Cycles,50747
SM 34,BlockCount,1
SM 31,LDS Instructions,48
SM 13,RegistersWrites,0
SM 28,IMU Instructions,104
Config.SPU,ReadLatency,1
SM 3,RegistersWrites,0
SM 17,InstructionsPerCycle,0
SM 29,RegistersReads,0
SM 14,LDS Instructions,104
SM 47,SPU Instructions,0
SM 19,DPU Instructions,0
SM 26,IMU Instructions,104
SM 8,BRU Instructions,296
