Section,Stat,Value
SM 10,SFU Instructions,2244
SM 6,RegistersReads,0
SM 15,IMU Instructions,364
SM 14,RegistersWrites,0
SM 6,Cycles,4719
Config.SPU,Width,1
SM 9,DPU Instructions,0
SM 2,LDS Instructions,380
SM 6,SFU Instructions,2244
SM 13,IMU Instructions,364
