Section,Stat,Value
Config.SM,MaxWarpsPerWarpPool,32
SM 17,SFU Instructions,1872
SM 36,SFU Instructions,824
SM 37,RegistersReads,0
SM 42,RegistersReads,0
SM 45,SFU Instructions,824
SM 10,DPU Instructions,0
SM 32,DPU Instructions,0
SM 5,SPU Instructions,0
SM 21,RegistersReads,0
SM 35,Cycles,101293
SM 36,InstructionsPerCycle,0
SM 42,BRU Instructions,152
SM 13,SFU Instructions,1280
SM 46,SPU Instructions,0
SM 12,BRU Instructions,248
SM 19,DPU Instructions,24
SM 26,SFU Instructions,1872
SM 27,DPU Instructions,24
SM 8,IMU Instructions,200
SM 28,BlockCount,3
SM 14,SFU Instructions,1280
SM 19,InstructionsPerCycle,0
SM 28,SPU Instructions,0
SM 33,RegistersWrites,0
SM 35,DPU Instructions,0
SM 1,BlockCount,3
SM 47,LDS Instructions,96
SM 40,LDS Instructions,96
SM 2,SFU Instructions,1280
Config.SFU,ReadBufferSize,1
SM 7,DPU Instructions,0
SM 22,InstructionsPerCycle,0
SM 18,SFU Instructions,1872
SM 24,RegistersReads,0
SM 3,LDS Instructions,136
SM 8,RegistersReads,0
SM 43,Cycles,101293
SM 13,RegistersWrites,0
SM 45,InstructionsPerCycle,0
SM 40,BRU Instructions,152
SM 41,InstructionsPerCycle,0
SM 42,SFU Instructions,824
SM 3,InstructionsPerCycle,0
SM 30,BRU Instructions,392
SM 24,BRU Instructions,392
SM 42,BlockCount,2
SM 40,InstructionsPerCycle,0
SM 20,RegistersReads,0
SM 33,LDS Instructions,96
SM 34,RegistersReads,0
SM 24,IMU Instructions,296
Config.LSU,ReadBufferSize,1
SM 10,BlockCount,3
SM 41,LDS Instructions,96
SM 45,RegistersReads,0
Config.DPU,WriteLatency,12
SM 32,SFU Instructions,824
SM 30,RegistersReads,0
SM 39,BRU Instructions,152
SM 14,RegistersReads,0
SM 38,DPU Instructions,0
SM 47,SPU Instructions,0
SM 42,DPU Instructions,0
SM 20,Cycles,101293
Config.SPU,WriteBufferSize,1
SM 25,SFU Instructions,1872
SM 9,RegistersReads,0
SM 34,InstructionsPerCycle,0
SM 7,IMU Instructions,200
SM 16,Cycles,101293
SM 27,RegistersReads,0
SM 2,IMU Instructions,200
SM 35,SPU Instructions,0
SM 20,InstructionsPerCycle,0
SM 40,DPU Instructions,0
SM 43,BRU Instructions,152
SM 5,RegistersReads,0
SM 47,BlockCount,2
SM 10,RegistersWrites,0
SM 38,SPU Instructions,0
SM 9,DPU Instructions,0
SM 33,SFU Instructions,824
SM 25,LDS Instructions,152
SM 36,Cycles,101293
SM 40,BlockCount,2
SM 25,BlockCount,3
Config.IMU,WriteLatency,1
SM 25,RegistersWrites,0
SM 16,DPU Instructions,24
Config.SFU,DispatchBufferSize,2
SM 12,RegistersReads,0
Config.SPU,ReadBufferSize,1
Device,instructionsPerCycle,0
SM 37,SPU Instructions,0
SM 1,BRU Instructions,248
SM 28,LDS Instructions,152
SM 15,SFU Instructions,1280
SM 20,DPU Instructions,24
SM 6,IMU Instructions,200
SM 15,BlockCount,3
SM 35,BlockCount,2
SM 43,LDS Instructions,96
SM 46,BRU Instructions,152
SM 44,BRU Instructions,152
Config.FrontEnd,FetchBufferSize,10
SM 43,RegistersReads,0
SM 9,InstructionsPerCycle,0
SM 47,IMU Instructions,128
Device,GridCount,0
SM 26,RegistersWrites,0
Config.IMU,ExecutionBufferSize,1
Config.BRU,ExecutionBufferSize,5
SM 3,RegistersReads,0
SM 16,InstructionsPerCycle,0
SM 37,BRU Instructions,152
SM 27,IMU Instructions,296
SM 37,IMU Instructions,128
SM 24,RegistersWrites,0
Config.IMU,DispatchBufferSize,2
SM 27,BlockCount,3
SM 26,BlockCount,3
SM 10,InstructionsPerCycle,0
SM 27,SPU Instructions,0
SM 33,DPU Instructions,0
SM 22,BRU Instructions,392
SM 33,BlockCount,2
SM 6,InstructionsPerCycle,0
Config.SPU,DispatchBufferSize,2
SM 7,SFU Instructions,1280
SM 39,LDS Instructions,96
SM 2,BRU Instructions,248
SM 2,LDS Instructions,136
Device,Cycles,101293
SM 2,RegistersWrites,0
SM 36,RegistersReads,0
SM 28,RegistersWrites,0
SM 29,LDS Instructions,152
SM 32,SPU Instructions,0
Config.IMU,ReadLatency,1
SM 12,LDS Instructions,136
SM 5,BlockCount,3
SM 32,Cycles,101293
Config.Device,Frequency,735
SM 34,RegistersWrites,0
SM 5,SFU Instructions,1280
Config.SM,MaxBlocksPerWarpPool,4
SM 3,BRU Instructions,248
SM 22,BlockCount,3
SM 38,RegistersReads,0
SM 41,IMU Instructions,128
SM 43,SFU Instructions,824
Config.LSU,ReadLatency,1
SM 3,BlockCount,3
SM 0,Cycles,101293
SM 9,BlockCount,3
SM 10,IMU Instructions,200
SM 22,RegistersWrites,0
SM 2,InstructionsPerCycle,0
SM 16,RegistersWrites,0
SM 39,IMU Instructions,128
SM 14,SPU Instructions,0
SM 33,SPU Instructions,0
SM 2,DPU Instructions,0
SM 24,SFU Instructions,1872
SM 26,BRU Instructions,392
SM 46,DPU Instructions,0
SM 11,RegistersReads,0
SM 0,SFU Instructions,1280
SM 2,SPU Instructions,0
SM 6,SFU Instructions,1280
SM 20,BlockCount,3
SM 25,IMU Instructions,296
SM 14,BlockCount,3
SM 34,DPU Instructions,0
SM 14,IMU Instructions,200
SM 11,SFU Instructions,1280
SM 11,LDS Instructions,136
SM 42,RegistersWrites,0
SM 14,DPU Instructions,0
SM 22,LDS Instructions,152
SM 19,SFU Instructions,1872
SM 42,InstructionsPerCycle,0
SM 16,BRU Instructions,392
SM 32,RegistersWrites,0
SM 18,SPU Instructions,0
SM 1,InstructionsPerCycle,0
SM 47,SFU Instructions,824
SM 22,DPU Instructions,24
SM 15,RegistersWrites,0
SM 13,BRU Instructions,248
SM 29,RegistersReads,0
SM 9,RegistersWrites,0
SM 28,DPU Instructions,24
SM 24,DPU Instructions,24
SM 33,BRU Instructions,152
SM 6,Cycles,101293
Config.SPU,ExecutionLatency,1
SM 45,BRU Instructions,152
SM 12,InstructionsPerCycle,0
SM 24,InstructionsPerCycle,0
SM 23,LDS Instructions,152
SM 33,InstructionsPerCycle,0
SM 41,BlockCount,2
SM 19,BlockCount,3
SM 31,SPU Instructions,0
Config.DPU,ExecutionLatency,15
Config.BRU,ReadBufferSize,5
SM 8,InstructionsPerCycle,0
SM 29,InstructionsPerCycle,0
SM 30,Cycles,101293
